county,year,dof_pop
Santa Cruz,2020,273999
Shasta,2010,177376
Shasta,2011,177749
Shasta,2012,178288
Shasta,2013,178740
Shasta,2014,179008
Shasta,2015,178422
Shasta,2016,177592
Shasta,2017,178154
Shasta,2018,178239
Shasta,2019,178029
Shasta,2020,177925
Sierra,2010,3233
Sierra,2011,3223
Sierra,2012,3208
Sierra,2013,3192
Sierra,2014,3171
Sierra,2015,3152
Sierra,2016,3147
Sierra,2017,3149
Sierra,2018,3136
Sierra,2019,3121
Sierra,2020,3115
Siskiyou,2010,44855
Siskiyou,2011,44885
Siskiyou,2012,44861
Siskiyou,2013,44750
Siskiyou,2014,44709
Siskiyou,2015,44540
Siskiyou,2016,44418
Siskiyou,2017,44233
Siskiyou,2018,44128
Siskiyou,2019,44060
Siskiyou,2020,43956
Solano,2010,412873
Solano,2011,415307
Solano,2012,418117
Solano,2013,421344
Solano,2014,425664
Solano,2015,429256
Solano,2016,433395
Solano,2017,437294
Solano,2018,439975
Solano,2019,442145
Solano,2020,444255
Sonoma,2010,484055
Sonoma,2011,487677
Sonoma,2012,490588
Sonoma,2013,494985
Sonoma,2014,498358
Sonoma,2015,501142
Sonoma,2016,503109
Sonoma,2017,503181
Sonoma,2018,500499
Sonoma,2019,498480
Sonoma,2020,496668
Stanislaus,2010,516648
Stanislaus,2011,519887
Stanislaus,2012,524730
Stanislaus,2013,528323
Stanislaus,2014,531979
Stanislaus,2015,537658
Stanislaus,2016,543509
Stanislaus,2017,550324
Stanislaus,2018,554616
Stanislaus,2019,558395
Stanislaus,2020,562303
Sutter,2010,94898
Sutter,2011,94855
Sutter,2012,95362
Sutter,2013,96699
Sutter,2014,96197
Sutter,2015,96976
Sutter,2016,97871
Sutter,2017,99465
Sutter,2018,101337
Sutter,2019,103580
Sutter,2020,105747
Tehama,2010,63381
Tehama,2011,63252
Tehama,2012,63232
Tehama,2013,63077
Tehama,2014,63210
Tehama,2015,63551
Tehama,2016,63983
Tehama,2017,64176
Tehama,2018,64703
Tehama,2019,65428
Tehama,2020,65885
Trinity,2010,13798
Trinity,2011,13732
Trinity,2012,13731
Trinity,2013,13685
Trinity,2014,13626
Trinity,2015,13556
Trinity,2016,13489
Trinity,2017,13454
Trinity,2018,13385
Trinity,2019,13385
Trinity,2020,13354
Tulare,2010,442517
Tulare,2011,448157
Tulare,2012,452745
Tulare,2013,456160
Tulare,2014,459862
Tulare,2015,464357
Tulare,2016,467742
Tulare,2017,472147
Tulare,2018,475781
Tulare,2019,479924
Tulare,2020,484423
Tuolumne,2010,55240
Tuolumne,2011,54980
Tuolumne,2012,53965
Tuolumne,2013,54349
Tuolumne,2014,53823
Tuolumne,2015,53531
Tuolumne,2016,53291
Tuolumne,2017,52862
Tuolumne,2018,52843
Tuolumne,2019,52568
Tuolumne,2020,52351
Ventura,2010,825004
Ventura,2011,832732
Ventura,2012,837818
Ventura,2013,843511
Ventura,2014,847976
Ventura,2015,851843
Ventura,2016,853006
Ventura,2017,854309
Ventura,2018,855713
Ventura,2019,853747
Ventura,2020,852747
Yolo,2010,202634
Yolo,2011,203430
Yolo,2012,206079
Yolo,2013,208528
Yolo,2014,210110
Yolo,2015,212992
Yolo,2016,216980
Yolo,2017,219697
Yolo,2018,222054
Yolo,2019,222868
Yolo,2020,223612
Yuba,2010,72353
Yuba,2011,72823
Yuba,2012,73140
Yuba,2013,73303
Yuba,2014,73808
Yuba,2015,74472
Yuba,2016,75378
Yuba,2017,76712
Yuba,2018,77426
Yuba,2019,78292
Yuba,2020,79290
